Codigo;Autor;Editorial;Titulo;Año;
L-100;MURMIS, MiguelBENGOA, JoséBARSKY, Osvaldo;;Terratenientes y desarrollo capitalista en el agro;1901;
L-101;CHIRIBOGA, José R.;;BID Instrumento del desarrollo;1978;
L-102;BALASSA, Bela;BID, BIRF;Estructura de la protección en países en desarrollo;1972;
L-103;;ALALC, BID, INTAL;Transporte y comercio exterior del Paraguay;1967;
L-104;BURCH, TomasLIRA, Luis F.LOPEZ, Valdecir F.;CELADE;Familia como unidad de estudio demográfico;1976;
L-105;CARRIZOSA S.,M, DIEGUEZ H., L. FIGUEROA A.;ECIEL;Ingreso desigualdad y pobreza en América Latina.;1982;
L-106;;NACIONES UNIDAS;Concepto de población estable aplicación al estudio de la población de países que no tienen buenas estadísticas demográficas;1970;
L-107;LOTKA, Alfred J.;CELADE;Demografía matemática selección de artículos;1973;
L-108;LOTKA, Alfred J.;CELADE;Teoría analítica de las asociaciones biológicas;1976;
L-109;SALGADO, Germánico;BID, INTAL;Ecuador y la integración económica de América Latina;1970;
L-10;;BID, OEA, CEPAL;Reforma Tributaria para América Látina. II problemas de política fiscal;1963;
L-110;;BID, INTAL;Proceso de integración en América Latina 1968 - 1971;1955;
L-111;;BID, INTAL;Proceso de integración en América Latina en 1973;1974;
L-112;;BIDINSTITUTO INTERAMERICANO DE ESTUDIOS JURIDICOS;Instrumentos relativos a la integración económica de América Latina;1968;
L-113;DEUTSCH, K.BURREL, S.KANN, R.LEE, M.;BID, INTAL;Integración y formación de comunidades políticas;1966;
L-114;HERRERA, Felipe;BID, INTAL;Nacionalismo regionalismo internacionalismo: América Latina en el contexto internacional;1970;
L-115;CATALANO, Nicola;BID, INTAL;Manual de derecho de las comunidades europeas;1966;
L-1160;STONER, James A. F.FREEMAN, EdwardGILBERT, Daniel;;Administración;1996;
L-1161;KOTLER, Philip;PRENTICE-HALL HISPANOAMERICANA, S.A.;Dirección de mercadotécnia análisis, planeación, implementación y control;1996;
L-1162;LAUDON, Kenneth C.LAUDON, Jane P.;PRENTICE-HALL HISPANOAMERICANA, S.A.;Administración de los sistemas de información organización y tecnología;1996;
L-1163;RENDER, BarryHEIZER, Jay;PRENTICE-HALL HISPANOAMERICANA, S.A.;Principios de administración de operaciones;1996;
L-1164;ROBBINS, Stephen P.;PRENTICE-HALL HISPANOAMERICANA, S.A.;Comportamiento organizaciones teoría y práctica;1996;
L-1166;FOGARTY, Donald;APICS;Administración de la producción e inventarios;1995;
L-1167;ADAM, Everett E.EBERT, Ronald J.;PRENTICE-HALL HISPANOAMERICANA, S.A.;Administración de la producción y las operaciones;1996;
L-1168;PORTER, Michel E.;;Ventaja competitiva creación y sostenimiento de un desempeño superior;1996;
L-1169;MINTZBERG, HenryBRIAN QUINN, James;;Proceso estratégico conceptos, contextos y casos;1996;
L-116;HAAS, Ernst B.;BID, INTAL;Partidos políticos y grupos de presión en la integración europea;1976;
L-1170;ACKOFF, Russell L.;UNIVERSIDAD DE PENSILVANIA;<El> arte de resolver problemas;1996;
L-1171;CLELAND, David I.KING, William R.;UNIVERSIDAD OF PITTSBURGH;Manual para la administración de proyectos;1993;
L-1172;ALFORD, L. P.BANGS, John R.HAGEMANN, George E.;;Manual de la producción;1996;
L-1173;ACKOFF, Russell L.;UNIVERSIDAD DE PENSILVANIA;Planificación de la empresa del futuro;1996;
L-1174;"PONDY, Louis R.; FROST, Peter; MORGAN, Gareth; DANDRIGE, Thomas ";;Organizational symbolism;1983;
L-1175;HALL, Richard H.;PRENTICE-HALL HISPANOAMERICANA, S.A.;Organizaciones estructuras, procesos y resultados;1996;
L-1176;MORGAN, Gareth;;Imágenes de la organización;1991;
L-1179;LASERNA, RobertoCORTES, JorgeLEDO, CarmenRAMIREZ, AlejandraVALDIVIESO, Roberto;PNUD;Sostenibilidad y desarrollo humano. La calidad de vida en Cochabamba;1995;
L-117;KOSTER, Gerrit;;Santa Cruz de la Sierra desarrollo, estructura interna y funciones de una ciudad en los llanos tropicales;1983;
L-1183;MUNCH GALINDO, Lourdes;;Más allá de la excelencia y de la calidad total;1996;
L-1184;CIAMPA, Dan;;Calidad total guía para su implantación;1992;
L-1187;LINDERT, Paul van;UNIVERSIDAD DE UTRECHT;Desarrollo y planificación regional. Introducción, Literatura recomendada;1997;
L-1188;;CEPAL;XII conferencia perspectivas para el desarrollo económico en América Latina;1996;
L-1189;ROSENTHAL, Gert;CEPAL;XII Conferencia perspectivas para el desarrollo económico en América Latina el futuro del desarrollo económico de América Latina en el contexto mundial, conferencia magistral;1996;
L-118;CALDERON G., Fernando;CERES;Política en las calles;1983;
L-1190;AZOGUE CRESPO, Ricardo;UMSS;"Informe de labores. Taller de tesis ""Economía período 1993-1994""";1994;
L-1193;ROBBINS, Stephen P.DE CENZO, David A.;PRENTICE HALL HISPANOAMERICANA, S.A.;Fundamentos de administración conceptos esenciales y aplicaciones;1996;
L-1194;RODRIGUEZ RUEDA, Jorge;;Análisis acerca de la tierra, del territorio y los recursos naturales de los pueblos originarios de Bolivia;1997;
