Codigo;Autores;Titulo;Año;Programa
T-M-218;CALDERON LAFUENTE, Mirtha Viviana;Propuesta de administración financiera del capital de trabajo para una empresa de jugos naturales;2010;Magister en Finanzas Corporativas. Mención Gestión Financiera
T-M-220;JORDAN SANCHEZ, Juan José;Informe de simulación de finanzas empresariales área: gerencia general empresa: Opal Stone;2011;Magister en Finanzas Corporativas. Mención Gestión Financiera
T-M-163;GARCIA HINOJOSA, Claudia Eliana;Formulación de un modelo de diversificación financiera para organizaciones no gubernamentales de Bolivia;2009;Magister en Finanzas Corporativas. Mención: Gestión Financiera
T-M-165;MENA MENA, Nelson Bismark;Modelo de planeación financiera aplicado a la gestión económica - financiera en la escuela universitaria de posgrado de la Univesidad Mayor de San Simón;2009;Magister en Finanzas Corporativas. Mención: Gestión Financiera
T-M-166;URQUIDI HINOJOSA, Edward;Planificación financiera para una empresa de viguetas de hormigón ABC SRL;2009;Magister en Finanzas Corporativas. Mención: Gestión Financiera
T-M-180;LLANOS MENDIETA, Giancarla Ingrid;Propuesta de titulación de la cartera de créditos de vivienda del Banco Nacional de Bolivia;2009;Magister en Finanzas Corporativas. Mención: Gestión Financiera
T-M-186;ALVAREZ IPORRE, Daniela Edith;Análisis de la rentabilidad en la apertura de una ruta comercial para una linea aérea;2009;Magister en Finanzas Corporativas. Mención: Gestión Financiera
T-M-201;CASTRO PEÑARRIETA, José Antonio;Informe de simulación de finanzas empresariales. Area: Gerencia general. Empresa Dragon FLY;2010;Magister en Finanzas Corporativas. Mención: Gestión Financiera
T-M-202;MARTINEZ LEAÑOS, Carmen;Planificación financiera para la empresa de ladrillos refractarios ABC SRL;2010;Magister en Finanzas Corporativas. Mención: Gestión Financiera
T-M-203;MONTAÑO FERNANDEZ, Ivia Aidee;Informe del taller simulación de finanzas empresariales. Area: gerencia de abastecimiento y logística. Empresa: Opal Stone;2010;Magister en Finanzas Corporativas. Mención: Gestión Financiera
T-M-204;GONZALES TORREZ, Carolina;Informe del taller simulación de finanzas empresariales. Area: gerencia de producción y RRHH. Empresa: Dragon FLY;2010;Magister en Finanzas Corporativas. Mención: Gestión Financiera
T-M-205;OLIVERA ESPINOZA, Nelson;Informe de taller de simulación de finanzas empresariales. Area: gerencia de abastecimiento y logística. Empresa Full Jeans S.A.;2010;Magister en Finanzas Corporativas. Mención: Gestión Financiera
T-M-206;CORDOVA VALENCIA, Iván Jhonny;Análisis del sistema de información financiera de costos para la toma de decisiones gerenciales en empresas de servicios petroleros. Caso Expansión Gaa lazos loop pongo kohani, realizado por la empresa IST Ltda.;2010;Magister en Finanzas Corporativas. Mención: Gestión Financiera
T-M-207;MERUVIA MALDONADO, Ivana Mariela;Informe del taller de simulación de finanazas empresariales. Area: Gerencia administrativa financiera. Empresa: Opal Stone;2010;Magister en Finanzas Corporativas. Mención: Gestión Financiera
T-M-164;ZAMBRANA VALENCIA, Alfredo;Diseño de un sistema de gestión integral de riesgos para la mutual de ahorro y préstamo La Promotora;2009;Magister en Finanzas Corporativas. Mención: Inversión Bursatil
T-M-179;ROCHA ESCOBAR, Juan Oscar;Titulación de la cartera hipotecaria de Mutual de la Promotora, como mecanismo alternativo de financiamiento;2009;Magister en Finanzas Corporativas. Mención: Inversión Bursatil
T-M-157;LARA TERAN, Edgar Mauricio;Modelo de evaluación del impacto financiero de una campaña de marketing en Boliviatel;2009;Magister en Gestión Empresarial
T-M-176;LIMA HUARACHI, Ramiro;Sistema de gestión estratégica de la dirección de la Escuela Universitaria de Posgrado de la UMSS en base a las herramientas de la planificación estratégica y del cuadro de mando integral;2009;Magister en Gestión Empresarial
T-M-177;CANO PRADO, José Daniel;Valoración económica de la fundación para la feria internacional de Cochabamba Bolivia - FEICOBOL;2009;Magister en Gestión Empresarial
T-M-189;MONTAÑO MERINO, Mauricio Alfredo;Planificación estratégica aplicada a la empresa Calatel PNG Limiated;2010;Magister en Gestión Empresarial
T-M-196;GARRON DAZA, Mauricio Enrique;Propuesta de un nuevo modelo de negocio en el sector de la construcción;2010;Magister en Gestión Empresarial
T-M-199;SOZA CLAROS, Patricia Teresa;Plan estratégico de marketing en la empresa agropecuaria universitaria (EAU) para posicionar sus productos lácteos en el mercado regional;2010;Magister en Gestión Empresarial
T-M-213;GUARDIA POZO, Tatiana;Informe de simulación de negocios. Area gerencia de marketing y ventas. Empresa Eternity  Jeans;2010;Magister en Gestión Empresarial
T-M-214;PATIÑO POZO, Ronald José;Informe de simulación de negocios. Area gerencia de abastecimiento y logística. Empresa Eternity  Jeans;2010;Magister en Gestión Empresarial
T-M-215;REYNOLDS MEJIA, Luís Alberto;Percepciones y preferencias del consumidor de palmito fresco. Caso: Unión de Asociaciones de productores de plantines y palmito;2010;Magister en Gestión Empresarial
T-M-216;ALMEIDA CARDONA, Rodrigo;Informe del taller de simulación de negocios. Area gerencia general empresa Eternaty Jeans;2010;Magister en Gestión Empresarial
T-M-231;ARIAS MORALES, Jorge;Informe del taller de simulación de negocios empresa Eternity jeans área: gerencia de estrategia empresarial;2011;Magister en Gestión Empresarial
T-M-233;NASSAF TORREZ, Carolina;Propuesta de un sistema de evaluación del desempeño laboral en el centro de educación integral Consipe;2011;Magister en Gestión Empresarial
T-M-167;MONTAÑO VARGAS, Hugo;Planificación financiera para una empresa de jeans;2009;Magister en Gestión Empresarial. Mención Gestión Financiera
T-M-168;PEÑALOZA PALOMEQUE, Marina K.;Administración del capital de trabajo para una empresa de infusiones orgánicas;2009;Magister en Gestión Empresarial. Mención Gestión Financiera
T-M-193;GUTIERREZ AGUILAR, Elid Fidelia;Planificación estratégica financiera de la caja petrolera de salud Cochabamba;2010;Magister en Gestión Empresarial. Mención Gestión Financiera
T-M-194;PEREDO PAZ, Marcelo;Gestión de crédito en las empresas comerciales de cosméticos;2010;Magister en Gestión Empresarial. Mención Gestión Financiera
T-M-195;GOMEZ PEREDO, Rosmery Bernarda;Análisis de los factores que determinan la reubicación de una planta industrial de minerales no metálicos caso San Onofre Ltda.;2010;Magister en Gestión Empresarial. Mención Gestión Financiera
T-M-154;VARGAS AGUILAR, Christian Gonzalo;"Gerenciamiento de optimización de ingresos en la empresa de transporte terrestre de carga y pasajeros ""Flora Bolivar""";2009;Magister en Gestión Empresarial. Mención: Gestión Financiera
T-M-155;SALAMANCA CARDONA, Renato;Análisis de la rentabilidad del mercado de los créditos de consumo de la ciudad de Cochabamba;2009;Magister en Gestión Empresarial. Mención: Gestión Financiera
T-M-178;SORIA CALDERA, Ana Lucila;Propuesta de optimización de los procesos para la emisión de información económica financiera de la Prefectura del departamento de Cochabamba;2009;Magister en Gestión Empresarial. Mención: Gestión Financiera
T-M-212;JUAREZ GARCIA, Jacqueline Ivonne;Gestión integral de riesgos para entidades microfinancieras;2010;Magister en Gestión Empresarial. Mención: Gestión Financiera
T-M-232;VILLEGAS BLANCO, José Gonzalo;Modelo de gestión estratégica y por procesos de recursos humanos (caso Comteco Ltda.);2011;Magister en Gestión Estratégica de Organizaciones. Mención Recursos Humanos
T-M-173;ROCABADO ALANEZ, Juan Marcelo;Diseño de un plan de marketing político para la empresa de luz y fuerza electrica Cochabamba ELFEC S.A.;2009;Magister en Gestión Estratégica de Organizaciones. Mención: Gestión de Marketing
T-M-174;ANGULO SARABIA, Jacqueline;Sistema de gestión estrategica basada en el cuadro de mando integral - gerencia de servicio al cliente de Semapa;2009;Magister en Gestión Estratégica de Organizaciones. Mención: Gestión de Marketing
T-M-175;MERCADO PAREDES, Shirley;Plan de marketing para calzados de seguridad caso: empresa Ciensa Ltda.;2009;Magister en Gestión Estratégica de Organizaciones. Mención: Gestión de Marketing
T-M-153;LAYME HUARCA, Marina Magdalena;Modelo de planificación estratégica participativa del sistema educativo de la Iglesia;2009;Magister en Gestión Estratégica de Organizaciones. Mención: Gestión de Recursos Humanos
T-M-145;ANDIA ZAPATA, Amparo;Propuesta de controles internos tributarios para los procesos de determinación y liquidación impositiva y la elaboración de la I.T.C. mediante el sistema contable tango;2009;Magister en Gestión Tributaria
T-M-169;MONTAÑO TERRAZAS, Roberto;Propuestas de proyecto de ley de tasas académicas;2009;Magister en Gestión Tributaria
T-M-170;MURILLO CASANOVAS, Claudia;Efectos de las fluctuaciones y cambios internos de la economía en la estructura tributaria boliviana: una estimación econométrica por sistemas de ecuaciónes simultáneas;2009;Magister en Gestión Tributaria
T-M-171;VILLARROEL CABRERA, José Alex;Análisis de la aplicación de las normas tributarias relacionadas con el impuesto a la propiedad de bienes en el gobierno municipal de Cochabamba;2009;Magister en Gestión Tributaria
T-M-192;AYALA ZELADA, Jorge;Adecuación normativa para la aplicación armónica de nuevas alicuotas tributarias a la información;2010;Magister en Gestión Tributaria
T-M-210;ZUBIETA VEGA, Grety;<La> evasión del comercio electrónico en Cochabamba - Bolivia;2010;Magister en Gestión Tributaria
T-M-225;VEIZAGA OVANDO, Alain;Evaluación de la exención del impuesto a las utilidades de las empresas a las instituciones de educación superior privada;2011;Magister en Gestión Tributaria
T-M-184;PEDRAZAS ROMERO, Adolfo;<El> desarrollo económico rural en el marco de las leyes de participación popular y diálogo nacional 2000, en el municipio de Pasorapa;2009;Magister en Gestión del Desarrollo Rural
